index,price,hood_district,sqft,beds,bath,laundry,pets,housing_type,parking
1980,6800,7.0,1600.0,2.0,2.0,2,0,0,3
2018,3500,7.0,550.0,1.0,1.0,2,3,0,3
2095,5100,7.0,1300.0,2.0,1.0,2,3,0,0
2015,9000,7.0,3500.0,3.0,2.5,2,0,0,3
2013,3100,7.0,561.0,1.0,1.0,0,3,0,0
1978,3800,9.0,800.0,2.0,1.0,1,1,0,3
2099,3100,8.0,750.0,1.0,1.0,2,0,0,3
2092,3000,7.0,650.0,1.0,1.0,1,3,0,0
2091,3000,7.0,650.0,1.0,1.0,1,3,0,3
2014,3200,9.0,650.0,1.0,1.0,2,1,0,3
1976,3100,7.0,650.0,1.0,1.0,1,3,0,3
2085,15000,1.0,3500.0,4.0,3.5,2,0,3,3
2650,3300,2.0,1525.0,2.0,1.0,1,0,3,0
529,1200,1.0,184.0,1.0,2.5,0,0,0,0
2437,5600,9.0,1307.0,2.0,2.0,2,0,0,3
1685,2345,2.0,500.0,1.0,1.0,0,1,0,0
2519,2700,2.0,850.0,2.0,1.0,0,0,0,3
2338,3700,7.0,800.0,1.0,1.0,1,3,0,3
3064,3595,1.0,1205.0,3.0,2.0,1,0,0,3
1264,4875,9.0,1708.0,2.0,3.0,2,0,0,0
1697,5200,6.0,1417.0,2.0,1.5,2,3,0,3
2900,5200,6.0,1700.0,4.0,2.0,2,3,0,2
2419,1880,9.0,350.0,0.0,1.0,0,0,0,0
355,4350,8.0,950.0,2.0,1.0,2,1,0,3
2171,2500,2.0,700.0,1.0,1.0,1,3,0,2
2021,3184,9.0,704.0,1.0,1.0,2,3,0,3
795,2705,9.0,509.0,0.0,1.0,2,3,0,3
2543,3581,9.0,922.0,2.0,2.0,2,3,0,3
208,2610,9.0,694.0,1.0,1.0,2,3,0,3
2882,4900,9.0,1600.0,3.0,2.5,2,3,0,3
2888,4200,9.0,1500.0,3.0,2.0,2,3,0,0
2891,3600,6.0,1100.0,2.0,1.0,1,3,0,0
2913,4200,9.0,1400.0,3.0,2.0,2,3,0,0
2895,4500,9.0,1400.0,3.0,1.0,2,3,0,0
2893,4200,9.0,1400.0,3.0,2.0,2,3,0,3
2894,4800,6.0,1000.0,2.0,2.0,2,3,0,0
2892,5000,9.0,1400.0,3.0,2.0,2,3,0,3
2886,5000,9.0,1400.0,3.0,3.5,2,3,0,0
2884,2900,6.0,725.0,1.0,1.0,1,3,0,3
2421,1880,9.0,350.0,0.0,1.0,0,0,0,0
3007,3995,9.0,908.0,2.0,1.0,2,3,0,3
1521,2200,5.0,630.0,1.0,1.0,0,3,0,0
1808,2795,5.0,664.0,1.0,1.0,1,1,0,0
2897,3300,5.0,900.0,1.0,1.0,1,0,0,0
2224,2995,5.0,810.0,2.0,1.0,1,1,0,0
335,1995,8.0,388.0,1.0,1.0,1,3,0,0
1785,2750,5.0,600.0,1.0,1.0,1,1,0,3
1448,5050,7.0,1500.0,2.0,2.0,2,1,0,3
633,3800,9.0,950.0,1.0,1.0,2,0,0,3
1863,2600,6.0,725.0,0.0,1.0,1,0,0,0
1254,3498,5.0,995.0,2.0,2.0,1,3,0,1
2406,2600,8.0,558.0,1.0,1.0,2,0,0,0
2803,2950,6.0,606.0,1.0,1.0,2,3,0,0
5,2795,9.0,750.0,1.0,1.0,1,3,0,3
2818,2195,8.0,1000.0,1.0,1.0,1,0,0,3
2202,3815,9.0,683.0,1.0,1.0,2,3,0,3
1559,4050,9.0,830.0,1.0,1.0,2,0,0,3
2879,750,10.0,170.0,1.0,1.0,1,0,0,0
2939,2299,9.0,500.0,1.0,1.0,1,3,0,0
1378,3572,9.0,697.0,1.0,1.0,2,3,0,3
1348,2843,9.0,720.0,1.0,1.0,2,3,0,3
1339,3636,9.0,721.0,1.0,1.0,2,3,0,3
1397,3107,9.0,690.0,1.0,1.0,2,3,0,3
1033,2800,7.0,780.0,1.0,1.0,1,0,0,0
1198,3404,9.0,855.0,1.0,1.0,2,3,0,3
2068,2399,9.0,559.0,1.0,1.0,2,0,0,3
1844,3250,8.0,650.0,1.0,1.0,2,3,0,0
3089,1948,8.0,500.0,0.0,1.0,2,3,0,0
3088,1948,9.0,500.0,0.0,1.0,2,3,0,0
2069,2600,9.0,800.0,1.0,1.0,2,3,0,3
3069,2600,9.0,650.0,1.0,1.0,0,3,0,0
2207,3000,8.0,900.0,1.0,1.0,1,1,0,0
838,3300,9.0,757.0,1.0,1.0,2,0,0,3
2702,2500,4.0,600.0,1.0,1.0,1,0,0,2
670,2700,7.0,625.0,1.0,1.0,0,0,0,3
701,3200,9.0,916.0,1.0,1.0,2,0,0,3
687,3200,9.0,916.0,1.0,1.0,2,2,0,3
671,2404,5.0,615.0,1.0,1.0,1,3,0,1
168,2660,5.0,615.0,1.0,1.0,1,3,0,1
893,2835,8.0,600.0,1.0,1.0,1,0,0,0
213,2586,9.0,662.0,1.0,1.0,2,3,0,0
176,1820,9.0,516.0,0.0,1.0,2,3,0,0
2875,2100,9.0,660.0,0.0,1.0,1,0,0,0
279,3500,9.0,768.0,1.0,1.0,2,2,0,3
87,3884,9.0,943.0,2.0,2.0,2,3,0,0
1883,3750,9.0,1375.0,2.0,2.0,1,0,0,3
1877,3750,9.0,1375.0,2.0,2.0,1,0,0,3
474,4390,9.0,1070.0,2.0,2.0,2,0,0,3
381,4390,9.0,1070.0,2.0,2.0,2,0,0,3
3055,3000,5.0,750.0,1.0,1.0,1,0,0,0
2070,3188,9.0,737.0,1.0,1.0,2,0,0,3
40,4499,2.0,1200.0,2.0,2.0,2,0,3,3
2837,4800,7.0,1105.0,2.0,2.0,2,0,0,3
2084,3395,9.0,1162.0,2.0,2.0,2,3,0,1
80,2700,9.0,650.0,1.0,1.0,2,0,0,3
1707,2339,9.0,512.0,1.0,1.0,2,3,0,3
1919,2200,8.0,500.0,1.0,1.0,1,0,0,0
1917,2200,8.0,500.0,1.0,1.0,1,0,0,3
1555,2095,9.0,600.0,1.0,1.0,1,0,0,2
2826,1850,8.0,425.0,1.0,1.0,0,1,0,0
2825,1850,8.0,425.0,1.0,1.0,0,1,0,0
832,2595,9.0,675.0,1.0,1.0,1,0,0,2
811,2600,9.0,750.0,1.0,1.0,1,0,0,0
812,2450,6.0,650.0,1.0,1.0,1,1,0,3
821,2350,8.0,600.0,1.0,1.0,1,1,0,3
202,2950,9.0,700.0,1.0,1.0,1,3,0,3
1570,3000,7.0,950.0,1.0,1.0,1,0,0,3
819,2589,10.0,1219.0,1.0,1.0,2,3,0,3
2249,2702,9.0,1101.0,1.0,2.0,1,3,0,0
2312,4500,9.0,1200.0,2.0,2.0,2,0,0,3
2647,3200,9.0,800.0,2.0,1.0,2,1,0,0
2937,2300,2.0,700.0,2.0,1.0,1,0,1,0
1195,3490,5.0,500.0,2.0,1.0,2,3,0,0
49,3590,7.0,885.0,2.0,2.0,1,0,0,3
1021,3588,9.0,995.0,2.0,2.0,2,3,0,3
111,3663,9.0,1043.0,2.0,2.0,2,3,0,3
2944,3400,9.0,1100.0,2.0,1.0,1,0,0,3
2418,4578,9.0,986.0,2.0,2.0,2,3,0,3
2292,3312,9.0,922.0,2.0,2.0,2,3,0,3
2593,3400,6.0,750.0,2.0,1.0,1,0,0,0
1892,2650,8.0,700.0,2.0,1.0,1,0,0,0
2795,3800,7.0,1400.0,2.0,2.0,1,2,0,0
2582,2685,10.0,970.0,2.0,2.0,2,0,0,3
2151,4999,7.0,1598.0,2.0,1.0,1,0,0,3
1039,3700,2.0,900.0,2.0,1.0,2,0,3,3
1276,2795,8.0,743.0,2.0,2.0,2,3,0,0
935,3200,8.0,800.0,2.0,1.0,1,0,0,0
933,3000,8.0,800.0,2.0,1.0,1,0,0,0
1202,3250,5.0,900.0,2.0,1.0,0,0,0,3
929,2800,8.0,675.0,2.0,1.0,0,0,0,0
928,2700,8.0,675.0,2.0,1.0,0,0,0,0
2216,3795,9.0,1200.0,2.0,2.0,2,3,0,0
1850,3950,9.0,1450.0,3.0,1.0,2,3,0,0
1846,1691,9.0,232.0,0.0,1.0,1,0,0,3
1849,1660,9.0,232.0,0.0,1.0,1,0,0,3
1830,1690,9.0,233.0,0.0,1.0,1,0,0,3
1728,1679,9.0,241.0,0.0,1.0,1,0,0,3
2371,3000,7.0,810.0,1.0,1.0,2,3,0,3
2432,3999,5.0,1000.0,2.0,1.0,2,0,0,0
3068,3600,5.0,800.0,2.0,2.0,1,3,0,0
2902,3700,9.0,930.0,2.0,2.0,2,2,0,3
772,2500,10.0,900.0,2.0,1.0,1,0,1,0
1470,2765,10.0,902.0,2.0,1.5,0,0,0,0
2851,2850,8.0,900.0,2.0,1.0,0,0,0,0
2139,2999,1.0,775.0,2.0,1.0,1,0,0,3
1316,3900,9.0,950.0,2.0,2.0,1,3,0,3
1315,6995,8.0,1473.0,2.0,2.5,2,0,0,0
3053,3900,9.0,1254.0,2.0,1.5,2,3,0,3
2807,4500,8.0,1450.0,2.0,2.0,2,3,0,3
757,5595,9.0,1150.0,2.0,2.0,2,0,0,3
2521,3000,2.0,860.0,2.0,1.0,0,0,0,0
1515,3895,8.0,1000.0,2.0,1.0,1,0,0,1
2935,3999,9.0,1500.0,2.0,2.0,2,0,0,3
2829,4500,7.0,975.0,2.0,2.0,2,0,0,3
1336,3150,9.0,900.0,2.0,1.0,1,3,0,0
1913,3800,8.0,1200.0,2.0,1.0,1,0,0,3
2822,3100,4.0,750.0,2.0,1.0,1,1,0,3
3061,3795,5.0,1050.0,2.0,1.0,1,0,0,3
816,2800,9.0,875.0,2.0,1.0,1,0,0,3
26,3100,2.0,1000.0,2.0,1.0,0,0,0,2
1766,3300,7.0,1000.0,2.0,1.0,1,0,0,3
2494,2765,10.0,902.0,2.0,1.5,0,0,0,0
181,3250,2.0,1000.0,2.0,1.0,1,0,0,0
2028,3349,1.0,1400.0,3.0,1.0,1,0,0,0
2356,4750,5.0,1421.0,3.0,1.5,0,3,0,0
259,7195,5.0,1651.0,3.0,2.0,2,3,0,3
149,4637,6.0,1108.0,3.0,2.0,0,3,0,3
1151,2999,10.0,2000.0,3.0,2.0,1,0,3,0
2090,3699,8.0,1100.0,3.0,1.0,0,3,0,0
156,4950,8.0,1000.0,3.0,1.5,0,0,0,0
2473,3200,10.0,950.0,3.0,1.5,2,0,3,0
1250,3800,7.0,1500.0,3.0,2.0,1,0,0,0
2710,3900,8.0,1200.0,3.0,1.0,1,0,0,0
1968,5100,4.0,1500.0,3.0,2.5,2,0,3,3
1043,7654,8.0,1525.0,3.0,2.5,2,2,0,3
172,3698,9.0,900.0,3.0,1.0,1,3,0,0
3091,4995,5.0,1500.0,3.0,2.0,2,3,0,1
2708,3595,8.0,1100.0,3.0,1.0,1,0,0,0
2075,2599,9.0,665.0,1.0,1.0,2,0,0,1
1532,2900,1.0,950.0,1.0,1.0,1,0,0,0
1829,4149,2.0,1200.0,3.0,1.5,1,0,0,3
2619,3300,2.0,800.0,3.0,3.0,0,0,0,0
569,2900,3.0,1000.0,3.0,1.0,1,0,3,0
1299,3200,8.0,800.0,3.0,2.0,2,0,0,0
833,3700,6.0,1600.0,3.0,2.0,1,0,0,0
827,4000,5.0,1500.0,3.0,2.0,2,1,0,0
2796,4800,7.0,1500.0,3.0,2.5,1,0,0,0
2022,4695,1.0,1650.0,3.0,3.0,1,0,0,3
9,2995,9.0,732.0,1.0,1.0,2,0,0,3
14,2950,9.0,1162.0,1.0,2.0,2,0,0,3
0,3850,9.0,966.0,2.0,2.0,2,0,0,3
1233,5695,5.0,1429.0,3.0,1.5,2,3,0,3
2878,5000,5.0,1240.0,3.0,2.0,1,0,0,3
1667,9300,7.0,2200.0,4.0,2.5,2,0,0,3
1155,6000,7.0,1500.0,4.0,2.0,1,0,0,0
1983,5600,5.0,1800.0,4.0,1.0,2,0,0,3
644,5500,5.0,1800.0,4.0,2.0,2,0,0,0
1277,3150,8.0,1000.0,1.0,1.0,0,1,0,0
1252,3150,8.0,1000.0,1.0,1.0,0,1,0,0
785,4700,9.0,1750.0,2.0,2.0,2,0,0,3
2353,7999,4.0,2379.0,4.0,4.0,2,3,3,3
2198,4800,9.0,1700.0,4.0,2.5,2,0,0,3
2189,4400,7.0,1400.0,4.0,2.5,2,3,0,1
1417,3600,5.0,1000.0,4.0,2.0,1,0,0,0
2765,3950,9.0,1432.0,3.0,1.0,0,3,0,0
598,5555,5.0,1555.0,5.0,1.5,0,3,0,0
380,7950,6.0,1800.0,5.0,2.0,0,0,0,0
1663,10000,7.0,2000.0,6.0,2.0,2,0,2,1
328,1575,8.0,310.0,0.0,1.0,1,3,0,0
1215,2225,8.0,428.0,1.0,1.0,1,3,0,0
2027,2915,5.0,543.0,1.0,1.0,2,3,0,3
329,2445,8.0,400.0,2.0,1.0,1,3,0,0
1253,2195,8.0,404.0,1.0,1.0,1,3,0,0
2402,3250,8.0,1036.0,2.0,1.0,1,3,0,0
1422,5000,2.0,2100.0,6.0,3.0,0,0,0,0
784,2404,10.0,1032.0,1.0,1.0,2,3,0,3
2098,3995,9.0,1090.0,2.0,2.0,2,0,0,2
800,3807,10.0,1592.0,2.0,2.0,2,3,0,0
2947,3000,9.0,631.0,1.0,1.0,2,0,0,3
167,2917,9.0,721.0,1.0,1.0,2,0,0,3
1761,2574,9.0,736.0,1.0,1.0,2,3,0,3
1783,4242,9.0,981.0,2.0,2.0,2,3,0,3
2320,2288,9.0,433.0,0.0,1.0,2,3,0,3
2564,2500,9.0,800.0,1.0,1.5,2,0,0,0
825,3195,9.0,750.0,1.0,1.0,2,0,0,3
1199,2337,9.0,800.0,1.0,1.0,1,1,0,3
2086,2418,9.0,431.0,0.0,1.0,2,0,0,1
861,3980,9.0,1000.0,4.0,1.5,2,3,0,3
2035,5200,7.0,1800.0,5.0,2.0,2,0,0,0
1213,4595,6.0,1400.0,4.0,1.5,2,0,0,0
2478,2500,2.0,950.0,1.0,1.0,2,0,0,0
557,2292,8.0,515.0,1.0,1.0,2,3,0,0
1383,3363,9.0,1090.0,2.0,2.0,2,3,0,0
515,2643,8.0,769.0,1.0,1.0,2,3,0,3
334,3500,8.0,1250.0,1.0,1.0,2,3,0,3
2453,4495,9.0,1494.0,2.0,2.5,2,3,0,3
518,5650,6.0,936.0,4.0,2.0,0,0,0,0
2711,4595,8.0,1200.0,3.0,1.0,1,0,0,0
593,2800,7.0,800.0,1.0,1.0,1,1,0,0
2899,3600,2.0,1280.0,3.0,2.0,1,0,0,0
1540,3099,9.0,921.0,2.0,2.0,2,3,0,3
2165,3395,5.0,850.0,2.0,1.0,1,0,0,0
112,2695,1.0,780.0,1.0,1.0,1,1,0,0
115,5795,9.0,1620.0,4.0,3.0,2,3,0,3
113,2966,9.0,800.0,2.0,1.0,2,0,0,0
196,1218,9.0,200.0,0.0,1.0,1,0,0,0
1670,5200,7.0,1000.0,3.0,1.0,2,0,2,1
2004,3495,9.0,800.0,2.0,1.0,1,3,0,3
2823,3500,8.0,850.0,2.0,1.0,2,0,0,0
934,3475,9.0,925.0,1.0,1.0,1,3,0,3
1186,4395,6.0,1035.0,2.0,2.0,2,3,0,0
897,3850,9.0,1050.0,2.0,1.5,2,0,0,3
2717,4595,5.0,1500.0,3.0,1.0,2,0,0,3
1450,4750,9.0,1414.0,3.0,2.0,1,0,0,3
1933,19000,9.0,2358.0,3.0,3.5,2,0,0,3
1801,3650,1.0,750.0,3.0,2.0,1,0,0,0
38,2875,2.0,633.0,1.0,1.0,1,3,0,2
804,2427,10.0,1133.0,1.0,1.0,2,3,0,0
1292,2695,8.0,1000.0,2.0,2.0,0,0,0,0
229,2695,5.0,1000.0,2.0,2.0,0,0,0,0
89,3412,8.0,916.0,2.0,2.0,2,3,0,0
2307,2850,8.0,750.0,2.0,1.0,1,0,0,0
1828,3099,6.0,875.0,2.0,2.0,1,0,0,3
1972,4050,9.0,1200.0,3.0,1.5,2,1,0,0
777,2200,7.0,500.0,1.0,1.0,1,3,0,0
1586,2595,1.0,650.0,1.0,1.0,1,1,0,3
1197,3295,8.0,933.0,2.0,1.0,1,3,0,3
2002,3295,8.0,833.0,2.0,1.0,1,3,0,3
2523,3300,8.0,950.0,3.0,1.5,1,0,0,0
1465,3500,9.0,909.0,1.0,1.0,2,0,0,0
1457,3459,9.0,882.0,1.0,1.0,2,0,0,3
2395,4950,6.0,1300.0,3.0,1.0,2,3,0,0
871,2669,8.0,789.0,1.0,1.0,2,3,0,3
1098,2995,7.0,650.0,1.0,1.0,1,0,0,3
57,3525,6.0,805.0,1.0,1.0,2,3,0,3
921,4210,8.0,1374.0,2.0,2.0,2,3,0,3
288,2395,6.0,650.0,1.0,1.0,1,1,0,0
197,2200,8.0,550.0,1.0,1.0,1,0,0,0
576,2595,9.0,690.0,1.0,1.0,2,0,0,3
2211,4400,8.0,1200.0,3.0,1.0,1,1,0,0
2872,1900,1.0,650.0,1.0,1.0,1,0,0,0
2381,3400,6.0,680.0,1.0,1.0,1,3,0,3
2066,2450,8.0,450.0,1.0,1.0,1,3,0,0
1434,2195,1.0,750.0,1.0,1.0,0,0,0,0
767,1800,3.0,450.0,1.0,1.0,0,0,0,1
1977,2990,5.0,587.0,1.0,1.0,2,3,0,3
2813,3980,5.0,800.0,1.0,1.0,1,0,0,1
1379,2950,6.0,1000.0,2.0,1.0,1,0,0,0
274,3799,8.0,1187.0,2.0,2.0,2,3,0,0
3079,4000,10.0,775.0,3.0,1.0,1,0,3,0
494,5290,9.0,1420.0,3.0,2.0,2,3,0,3
2221,4800,9.0,1400.0,3.0,2.0,2,1,0,0
3066,3600,1.0,1000.0,3.0,1.5,1,0,0,0
1018,4295,9.0,830.0,1.0,1.0,2,0,0,0
1686,3000,8.0,675.0,1.0,1.0,1,1,0,1
140,4999,6.0,1400.0,3.0,2.0,0,0,0,0
702,3700,9.0,1300.0,1.0,2.0,2,0,0,3
2192,2800,9.0,970.0,1.0,1.0,2,0,0,3
2528,3100,7.0,500.0,1.0,1.0,1,0,0,0
2791,1600,8.0,400.0,0.0,1.0,1,0,0,0
2790,1600,8.0,400.0,0.0,1.0,1,0,0,0
2469,5500,7.0,1500.0,3.0,2.0,2,0,0,3
560,5500,7.0,1500.0,2.0,2.0,2,0,0,3
700,2246,2.0,476.0,0.0,1.0,2,3,0,2
554,2053,6.0,5100.0,0.0,1.0,2,3,0,3
3024,3150,9.0,800.0,2.0,1.0,1,0,3,0
3052,4900,9.0,1600.0,2.0,2.0,2,3,0,3
664,900,9.0,170.0,1.0,1.0,0,0,0,3
2168,3995,5.0,1800.0,4.0,2.0,1,3,0,0
429,3995,9.0,1800.0,4.0,2.0,1,3,0,0
797,3995,7.0,850.0,1.0,1.0,1,0,0,0
2698,4500,7.0,1700.0,2.0,2.0,2,3,0,0
2313,2800,5.0,780.0,1.0,1.0,1,0,0,3
2311,2800,5.0,790.0,1.0,1.0,1,0,0,0
1045,5300,2.0,1600.0,4.0,2.0,1,0,3,0
1630,3575,8.0,1000.0,2.0,1.0,1,0,0,0
1726,3575,8.0,1000.0,2.0,1.0,1,0,0,0
1940,2195,9.0,450.0,0.0,1.0,0,0,0,0
1375,7746,5.0,2450.0,4.0,3.5,2,3,0,3
1376,7746,5.0,2450.0,4.0,3.5,2,3,0,3
424,2295,8.0,573.0,0.0,1.0,1,2,0,0
869,5400,7.0,1600.0,3.0,2.0,2,0,0,0
546,2680,9.0,591.0,1.0,1.5,2,3,0,3
3029,3466,5.0,551.0,1.0,1.0,2,3,0,0
1088,2595,6.0,627.0,1.0,1.0,2,1,0,0
1454,4200,2.0,1000.0,2.0,2.0,2,0,0,3
1086,1995,6.0,357.0,0.0,1.0,2,1,0,0
2382,3250,6.0,655.0,1.0,1.0,2,3,0,0
2433,2075,6.0,346.0,0.0,1.0,2,1,0,0
1085,2075,6.0,346.0,0.0,1.0,2,1,0,0
2520,2986,9.0,503.0,1.0,1.0,2,3,0,3
627,3190,8.0,840.0,2.0,1.0,1,1,0,0
3073,4950,1.0,2000.0,4.0,2.5,2,0,0,3
601,4495,1.0,1600.0,3.0,2.0,2,0,0,3
385,2998,9.0,585.0,1.0,1.0,2,3,0,3
79,2900,7.0,700.0,1.0,1.0,1,0,0,0
584,1995,6.0,415.0,1.0,1.0,0,1,0,3
2055,4100,5.0,1000.0,2.0,1.0,2,3,0,0
2854,4750,1.0,1500.0,3.0,2.0,1,3,0,2
1047,4536,9.0,914.0,2.0,1.0,2,3,0,3
